4.06 1.000
11.66 1.500
50.74 2.000
486.66 2.500
781.26 3.000
931.87 3.50
936.91 3.55
941.84 3.60
946.32 3.65
951.02 3.70
954.06 3.75
955.15 3.80
955.64 3.85
955.38 3.90
955.8 3.9500
957.21 3.9550
954.24 3.9600
956.1 3.9650
955.37 3.9700
957.56 3.9750
955.51 3.9800
954.87 3.9850
956.92 3.9900
953.73 3.9950
954.11 4.0000
954.77 4.0050
954.42 4.0100
953.76 4.0150
954.71 4.0200
956.41 4.0250
954.66 4.0300
953.54 4.0350
954.37 4.0400
954.45 4.0450
955.03 4.0500
953.48 4.10
948.64 4.15
947.63 4.20
945.29 4.25
942.36 4.30
938.01 4.35
936.63 4.40
930.09 4.45
927.28 4.50
871.57 5.000
820.72 5.500
776.44 6.000
739.04 6.500
706.56 7.000
677.36 7.500
651.86 8.000
629.43 8.500
608.6 9.000
592.94 9.500
578.92 10.000
